Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm,
Plant phenology and global climate change: Current progresses and challenges,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14619,"… of root phenology are required to improve our understanding of root phenology processes 
… or de-synchronization between leaf and root phenology under climate change. Filling such …","S Piao, Q Liu, A Chen, IA Janssens, Y Fu…",Global change …,2019,1561,roots AND phenology,
On the variability of respiration in terrestrial ecosystems: moving beyond Q10,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2005.01065.x,"… belowground plant tissues, phenological patterns of carbon allocation and growth, and 
intersite differences in productivity. Robust models of soil respiration will require that the direct …","EA Davidson, IA Janssens, Y Luo",Global change biology,2006,1557,belowground AND phenology,
Responses of spring phenology to climate change,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2004.01059.x,"… To our knowledge, the most detailed account of the roots and history of phenological 
research up to the mid-20th century is given by Schnelle (1955). Several papers updating this …","FW Badeck, A Bondeau, K Böttcher, D Doktor…",New …,2004,1325,roots AND phenology,
A crop phenology detection method using time-series MODIS data,https://www.sciencedirect.com/science/article/pii/S0034425705001057,"… phenological stages and growing periods. The root mean square errors of the estimated 
phenological … determination of regional characteristics of rice phenology. We proposed this new …","T Sakamoto, M Yokozawa, H Toritani…",Remote sensing of …,2005,1182,roots AND phenology,
Soil and stem water storage determine phenology and distribution of tropical dry forest trees,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1937467,"… Subsoil water reserves available to tree roots cannot be measured directly and were inferred 
from site topography, phenology, and tree water relations (see Results). Water reserves at …",R Borchert,Ecology,1994,1114,roots AND phenology,
A quantitative analysis of shoot phenology and dominance in herbaceous vegetation,https://www.jstor.org/stable/2259378,"… restricted by low soil fertility, the commonest phenological pattern was that of the evergreen; 
… ; the majority of these plants had relatively deep root-systems, and appeared to exploit …",MM Al,"Mufti, CL Sydes, SB Furness, JP Grime… - The Journal of …",1977,871,roots AND phenology,
Why does phenology drive species distribution?,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2010.0142,"… phenology is involved in fitness and why it is an adaptive trait susceptible to evolve quickly in 
changing climate conditions, I describe how phenology is … Phenology of leaves and roots is …",I Chuine,… Transactions of the Royal Society B: Biological …,2010,813,roots AND phenology,DOWN
Light and the phenology of tropical trees,https://www.journals.uchicago.edu/doi/abs/10.1086/285600,"… The number of species that centered phenological activity during the 3 … roots (less than 
1.5 m) produced leaves in the wet season only (three species), while species with deeper roots …","SJ Wright, CP van Schaik",The American Naturalist,1994,740,roots AND phenology,
Responses of tree fine roots to temperature,https://nph.onlinelibrary.wiley.com/doi/abs/10.1046/j.1469-8137.2000.00689.x,"… temperature for root growth, which seems to vary among taxa. Root growth and root mortality 
are … At present we do not understand whether root growth phenology responds to the same …","KS Pregitzer, JS King, AJ Burton, SE Brown",New Phytologist,2000,724,roots AND phenology,
Seasonally dry tropical forests,https://books.google.com/books?hl=fr&lr=&id=aaBOAAAAIAAJ&oi=fnd&pg=PR14&dq=belowground+AND+phenology&ots=7Y9HK4V2np&sig=Xt3ylrEGI2jb-T3EuMhSZ9LAg9Y,"… of plant life forms in terms of structure, physiology, phenology and reproduction. Biomass 
distribution, nutrient cycling, belowground dynamics and nitrogen gas emission are reviewed. …","SH Bullock, HA Mooney, E Medina - 1995 - books.google.com",,,614,belowground AND phenology,
