Title,Link,Abstract,Authors,Journal,Year,Citations,SearchTerm
"Above- and belowground phenology responses of subtropical Chinese fir (Cunninghamia lanceolata) to soil warming, precipitation exclusion and their interaction.",https://doi.org/10.1016/j.scitotenv.2024.173147,"Plant phenology plays an important role in nutrient cycling and carbon balance in forest ecosystems, but its response to the interaction of global warming and precipitation reduction remains unclear. In this study, an experiment with factorial soil warming (ambient, ambient +5 °C) and precipitation exclusion (ambient, ambient -50 %) was conducted in a subtropical Chinese fir (Cunninghamia lanceolata) plantation. We investigated the effects of soil warming, precipitation exclusion, and their interactions on Chinese fir phenology involving tree height and fine root growth. In the meantime, the impact of tree height growth and related climatic factors on fine root production was also assessed. The results showed that: (1) more variable phenology responses were observed in fine root growth than in tree height growth to the climatic treatments; the duration of fine root growth and tree height growth was significantly reduced by the precipitation exclusion and warming treatment, respectively; phenology differences of fine root and tree height growth caused by the solo warming and precipitation exclusion treatment were further enhanced by the combined treatment; and despite the greater inter-annual phenology stability of tree height growth than that of fine root growth, both of them showed insignificant response to all the climate treatments; (2) asynchrony of phenology between tree height and fine root growth was significantly enlarged by solo warming and precipitation exclusion treatments, and further enlarged by the combined treatment; (3) fine root production was significantly and positively correlated with air, and soil temperature, and tree height growth as well, which was altered by warming and precipitation exclusion treatments. Our results demonstrated that climatic changes significantly and differently alter phenology of, and extend the phenology asynchrony between, above and below ground plant components, and also highlight the climate-sensitive and variable nature of root phenology. Overall, these phenology responses to climatic change may weaken the close link between fine root production and tree height growth, which may result in temporal mismatch between nutrient demand and supply in Chinese fir plantation.","Qu Z, Lin C, Zhao H, Chen T, Yao X, Wang X, Yang Y, Chen G",The Science of the total environment,2024,,roots AND phenology AND fine roots AND growth
Effects of warming on fine root lifespan of forests: A review.,https://doi.org/10.13287/j.1001-9332.202306.007,"As an important parameter of forests growth, fine root lifespan plays an important role in plant water and nutrient absorption, and affects underground distribution of photosynthetic products and forest ecosystem carbon cycling. The impact of climate warming on fine root lifespan has become a hot issue under the context of global change. The responses of fine root lifespan to global warming will affect ecosystem carbon balance. We reviewed the research progress of the response characteristics and mechanism of fine root lifespan of trees to warming. Most stu-dies proposed that warming would affect fine root lifespan by changing rhizosphere soil environment, fine root morphology, and tree phenology. However, the growth and death of fine roots were affected by lots of factors, leading to differences in the research results on fine root lifespan due to natural environment of the study area, the way of warming, and the research objects. Therefore, it is of importance to comprehensively analyze the responses of fine root lifespan in forests under the background of climate warming to study the underground ecological process. In the future, the following research should be strengthened: 1) Combining multiple methods to warming underground and aboveground simutaneously, and explore more accurate and effective non-destructive observation methods. 2) Combining multiple observations to study the effects of warming on fine root lifespan. 3) Carrying out research on the effect of warming on fine root lifespan of different tree species, and deeply understand the response mechanism of fine root lifespan of different trees to warming. 4) A comprehensive analysis of the effects of warming on fine root lifespan from various perspectives, and an investigation into the mechanism of the combined effects of various factors on fine root lifespan. 5) The interaction between warming and other environmental factors fine root lifespan. 6) The effect of root architecture on the fine root lifespan after warming. 7) The effects of rhizosphere microorganisms (bacteria and fungi) on fine root lifespan after warming.
细根寿命作为林木生长的重要参数,不仅对林木吸收水分和养分能力具有重要作用,而且影响林木对光合产物的地下分配以及森林生态系统碳循环过程。气候变暖对细根寿命的影响已成为全球变化背景下关注的热点问题,细根寿命对全球变暖的响应将影响到生态系统的碳平衡。本文就林木细根寿命对增温的响应特征及其响应机制的研究进展进行综述,以期揭示增温对林木细根寿命的影响。目前已开展的大部分研究认为,增温会通过改变根际土壤环境、细根形态以及林木物候等指标来影响细根寿命。但细根生长和死亡受诸多因素的影响,导致增温对细根寿命影响的研究结果因研究区域自然环境、增温方式和研究对象等因素存在分歧。因此,综合分析气候变暖背景下林木细根寿命的变化对研究地下生态学过程至关重要。今后还应加强以下研究: 1)结合多种方式进行地下、地上同时增温,并探索更准确和有效的无损观测方法;2)结合多种观测手段研究增温对细根寿命的影响;3)开展增温对不同树种细根寿命的研究,深入理解不同林木细根寿命对增温的响应机理;4)多角度综合分析增温对细根寿命的影响特征,探究多种因素综合作用对细根寿命的影响机理;5)增温与其他环境因子对细根寿命交互作用;6)增温后根系层级结构对细根寿命影响;7)增温后根际微生物(细菌、真菌)的改变对细根寿命影响。.","Liu YH, DU XL, Huang JX, Xiong DC",Ying yong sheng tai xue bao = The journal of applied ecology,2023,,roots AND phenology AND fine roots AND growth
Divergent seasonal responses of above- and below-ground to environmental factors in alpine grassland.,"https://doi.org/10.3389/fpls.2022.1091441
10.3390/rs12030431
10.1111/nph.13655
10.1016/j.envexpbot.2020.103991
10.1111/gcb.12954
10.1007/s00442-022-05279-5
10.1111/gcb.14288
10.1016/j.scitotenv.2020.140649
10.3390/rs14030475
10.1111/gcb.12568
10.1007/s11104-010-0601-1
10.1016/j.soilbio.2006.11.017
10.1007/s11104-017-3434-3
10.1111/nph.13003
10.1016/S0098-8472(01)00077-6
10.1023/A:1004866705021
10.1111/j.1469-8137.2012.04120.x
10.1111/j.1365-2699.2003.01043.x
10.1890/13-1942.1
10.1016/j.scitotenv.2021.147806
10.1111/geb.13441
10.1016/j.soilbio.2017.01.020
10.1111/j.1365-2745.2008.01439.x
10.3389/fpls.2022.1048031
10.1016/j.xinn.2022.100265
10.1111/nph.13034
10.1155/2013/812723
10.1016/j.jenvman.2020.111875
10.1007/s40333-016-0013-z
10.1016/j.agrformet.2018.11.011
10.1002/ecy.2828
10.1016/j.quaint.2019.03.010
10.3389/fpls.2022.757077
10.1016/j.gecco.2019.e00814","Under current global warming, the relationship between season changes of plants and environmental factors is focused on high-elevation and latitude regions. Due to the desynchronized growth of above- and below-ground and the buffering of soil, the driving factors in leaf and root show seasonal dynamics.
We measured above- and below-ground intensity in the alpine steppe over the non-growing season (October-April) and growing season (May-September). Air temperature, precipitation, soil moisture, and soil temperature were used to analyze the correlation based on the growth rhythm.
Results showed that an earlier growth in spring and a delayed dormancy in autumn of root than leaf was observed. Our results strongly suggest that soil moisture plays a more important role in leaf unfolding while temperature is consistent with the withering of the shoots. Soil moisture comes from soil melt driving the spring phenology of roots, which derived from the storage of the subsoil layer in the last autumn.
Climate change will affect the strong seasonal patterns that characterized these precipitation-limited systems, especially in the spring and fall shoulder seasons. As seasonality changes in the alpine steppe, divergent responses of leaf and fine root would be explored.","Qin X, Nie X, Wang X, Hong J, Yan Y",Frontiers in plant science,2023,,roots AND phenology AND fine roots AND growth
Effects of Soil Water Shortage on Seedling Shoot and Root Growth of Saragolle Lucana Tetraploid Wheat (,"https://doi.org/10.3390/plants11243492
10.1088/1748-9326/aa723b
10.3389/fchem.2017.00106
10.1088/1748-9326/9/7/074003
10.4314/dai.v17i1.15692
10.1111/j.1744-7348.2007.00198.x
10.1038/s41437-020-0320-1
10.1016/j.rhisph.2021.100462
10.1007/s10681-015-1574-1
10.2135/cropsci1985.0011183X002500060007x
10.1007/s10681-020-02627-5
10.1007/s11104-017-3220-2
10.1016/j.rhisph.2017.04.015
10.1007/s11104-019-04334-0
10.1071/SR18182
10.1104/pp.106.1.179
10.3390/foods9060778
10.1002/jsfa.9388
10.1016/j.fcr.2018.10.012
10.1016/j.eja.2017.07.012
10.1016/j.fcr.2021.108162
10.3390/plants11020159
10.1007/s11104-020-04794-9
10.17129/botsci.747
10.3390/agronomy10050613
10.1007/s10681-016-1770-7
10.3390/agronomy9070364
10.1016/j.colsurfb.2005.11.028
10.1093/jxb/erl212
10.1146/annurev.pp.11.060160.001203
10.1016/j.envexpbot.2009.06.010
10.1016/j.plaphy.2020.02.038
10.1007/s10265-008-0151-2
10.1007/s11104-015-2554-x
10.1046/j.0016-8025.2001.00814.x
10.1093/jxb/erh276
10.5897/AJB2007.000-2119
10.3389/fpls.2013.00442
10.1111/nph.15225
10.18174/njas.v10i5.17581
10.3390/plants11192495
10.1186/s12870-020-02390-8
10.1046/j.1365-2745.1999.00330.x
10.1093/jxb/erv223
10.1016/j.scitotenv.2017.12.078
10.1016/j.geoderma.2020.114738
10.1111/nph.16242
10.1093/aob/mcaa181
10.1111/j.1439-0523.2011.01941.x
10.1007/s10681-019-2404-7
10.1002/jpln.201500547
10.3390/plants10091873
10.1111/j.1365-3180.1974.tb01084.x",Ancient wheats may be a source of traits that are useful for the tolerance of climate change foreseen conditions of raising temperatures and low water availability. Previous research has shown a fine root system and a high mass of rhizosheath per unit root mass in the italian durum wheat (,"Bochicchio R, Labella R, Rossi R, Perniola M, Amato M","Plants (Basel, Switzerland)",2022,,roots AND phenology AND fine roots AND growth
Above- and belowground interplay: Canopy CO,https://doi.org/10.1111/pce.14519,"In forests, mycorrhizal fungi regulate carbon (C) and nitrogen (N) dynamics. We evaluated the interplay among ectomycorrhizas (ECM), ecosystem C fluxes, tree productivity, C and N exchange and isotopic fractionation along the soil-ECM-plant continuum in a Mediterranean beech forest. From bud break to leaf shedding, we monitored: net ecosystem exchange (NEE, a measure of the net exchange of C between an ecosystem and the atmosphere), leaf area index, stem growth, N concentration, δ","Scartazza A, Sbrana C, D'Andrea E, Matteucci G, Rezaie N, Lauteri M","Plant, cell & environment",2022,,roots AND phenology AND fine roots AND growth
Separating the effects of air and soil temperature on silver birch. Part I. Does soil temperature or resource competition determine the timing of root growth?,"https://doi.org/10.1093/treephys/tpac092
10.1007/978-1-4684-7609-5_2
10.1016/j.soilbio.2020.107798
10.1007/978-3-642-22067-8_2","The aboveground parts of boreal forest trees mostly grow earlier, and the roots later, in the growing season. We aimed to experimentally test whether the extrinsic driver of soil temperature or the intrinsic driver (resource competition between plant parts) is a more important control for the root and shoot growth of silver birch (Betula pendula Roth) seedlings. Sixteen two-year-old seedlings were grown in controlled environment rooms for two simulated growing seasons (GS1, GS2). In GS1, all the seedlings were acclimatized under the same conditions, but in GS2, the soil temperature treatments were: (i) constant 10 °C (Cool); (ii) constant 18 °C (Warm); (iii) early growing season at 10 °C, switched to 18 °C later (Early Cool Late Warm, ECLW) and (iv) early growing season 18 °C, switched to 10 °C later (Early Warm Late Cool, EWLC). The treatments did not affect growth allocation between shoots and roots. Warm soil benefitted shoot elongation as it slowed down in EWLC and accelerated in ECLW after the soil temperature switch. However, whole-tree biomasses were similar to Cool and the seedlings grew largest in Warm. Phenology was not strongly affected by soil temperature, and root and shoot growth did not usually peak simultaneously. Short root mortality increased strongly in ECLW and decreased in EWLC after the soil temperature switch. Long root longevity was not significantly affected but long root growth ceased earliest in ECLW. Soil warming increased foliar nutrient contents. Growth dynamics were not solely driven by soil temperature, but resource competition also played a significant role. The study showed the importance of soil temperature for fine root dynamics not only through root growth but also via root mortality, as soil warming increased mortality even more than growth. Soil temperature has complex effects on tree and soil functioning, which further affects carbon dynamics in forest ecosystems that have a climate feedback.","Kilpeläinen J, Domisch T, Lehto T, Piirainen S, Silvennoinen R, Repo T",Tree physiology,2022,,roots AND phenology AND fine roots AND growth
Eco-archaeological excavation techniques reveal snapshots of subterranean truffle growth.,https://doi.org/10.1016/j.funbio.2021.09.001,"Despite its status as a highly-prized and coveted fungi in gastronomy, many aspects of the subterranean life cycle of the Burgundy truffle (Tuber aestivum) are still unknown, because in situ observations of the formation and maturation of truffle fruitbodies remain difficult. Here, we adopted a suite of archaeological fine-scale excavating techniques to provide unique spatiotemporal snapshots of Burgundy truffle growth at three sites in southern Germany. We also recorded the relative position, fresh weight, maturity level and genotype composition of all excavated fruitbodies. Varying by a factor of thousand, the fresh weight of 73 truffle ranged from 0.1 to 103.2 g, with individual maturity levels likely representing different life cycle stages from completely unripe to fully ripe and even decaying. While only a slightly positive relationship between fruitbody weight and maturity level was found, our results suggest that genetically distinct specimens can exhibit different life cycle stages at the same period of time and under the same environmental conditions. We therefore argue that truffles are likely able to grow, mature and ripe simultaneously between early summer and late winter of the following year. Our case study should encourage further eco-archaeological truffle excavations under different biogeographic settings and at different seasons of the year to gain deeper insights into the fungi's subterranean ecology. The expected cross-disciplinary findings will help truffle hunters and farmers to improve their harvest practices and management strategies.","Büntgen U, Peter M, Tegel W, Stobbe U, Elburg R, Sproll L, Molinier V, Čejka T, Isaac EL, Egli S",Fungal biology,2021,,roots AND phenology AND fine roots AND growth
Responses of root phenology in ecotypes of Eriophorum vaginatum to transplantation and warming in the Arctic.,https://doi.org/10.1016/j.scitotenv.2021.149926,"The effect of climate change on phenology and growth is less understood for belowground plant tissues than for aboveground plant tissues, particularly in high-latitude regions. Ecotypes within a species adapted to a locality may display different responses to climate change. We established two common garden plots in the Arctic tundra north of the Brooks Range in northern Alaska. Three ecotypes of Eriophorum vaginatum along a latitudinal gradient were transplanted into common gardens, and half of the transplants were warmed using open-top chambers (OTCs). Minirhizotrons were used to track the root phenology during the growing seasons of 2016 and 2017. Warming with OTCs (approximately +1 °C in air) did not affect the root biomass, root production or root phenology. The southern ecotype (from 67°16'N) of Eriophorum vaginatum transplanted northward experienced delayed startup and root production compared to two northern ecotypes (from 68°38'N and 69°25'N), although significant differences were not observed in the three ecotypes in terms of root production, root biomass and growth duration at the two sites. Our results suggest that as the climate warms, ecotypes of Eriophorum vaginatum may be able to adjust their duration of root growth and root productivity by phenotypic plasticity, although the degree of plasticity controlling the root startup time may vary between southern and northern ecotypes.","Ma T, Parker T, Unger S, Gewirtzman J, Fetcher N, Moody ML, Tang J",The Science of the total environment,2021,,roots AND phenology AND fine roots AND growth
Pulse Root Ideotype for Water Stress in Temperate Cropping System.,"https://doi.org/10.3390/plants10040692
10.4141/CJPS06034
10.1016/j.agwat.2008.08.012
10.3389/fchem.2018.00092
10.1093/aob/mcs293
10.1071/AR07046
10.1071/S96017
10.1071/EA06250
10.1093/jxb/eru162
10.1016/j.fcr.2011.04.003
10.1104/pp.109.1.7
10.1016/j.fcr.2016.11.004
10.1016/j.fcr.2014.10.003
10.3389/fpls.2017.01129
10.1007/s10681-015-1373-8
10.1071/SR02022
10.1071/CP16027
10.1007/BF00326087
10.1016/j.fcr.2018.12.015
10.1071/FP06055
10.1071/FP09121
10.1093/jxb/erq350
10.1038/s41598-019-52665-w
10.1007/s00374-015-1032-1
10.1007/s10681-019-2472-8
10.1007/s10722-005-0289-x
10.1023/A:1020609224525
10.1093/jxb/erw368
10.7717/peerj.4401
10.1111/nph.12330
10.1093/aob/mcw057
10.1023/A:1026140122848
10.1007/s11104-010-0343-0
10.1093/jxb/eraa324
10.1093/jxb/erw472
10.1071/AR9890943
10.2135/cropsci1981.0011183X002100020012x
10.1016/j.fcr.2005.10.005
10.1016/j.fcr.2005.02.012
10.1016/S1161-0301(98)00044-6
10.1016/j.fcr.2003.12.001
10.1093/jxb/err139
10.3389/fpls.2017.01632
10.1071/FP10244
10.1080/01904160600564378
10.1080/11263501003731805
10.1093/jxb/erx427
10.1007/s11103-020-00984-2
10.1093/jxb/erv007
10.1023/A:1010381919003
10.1093/aob/mct164
10.1016/j.fcr.2016.04.008
10.1016/S1573-5214(00)80015-9
10.1111/j.1469-8137.1993.tb03789.x
10.1093/jxb/erx439
10.1016/j.agwat.2019.105965
10.1016/j.fcr.2012.06.002
10.1016/j.fcr.2011.04.002
10.1016/j.eja.2020.126196
10.1093/jxb/eraa487","Pulses are a key component of crop production systems in Southern Australia due to their rotational benefits and potential profit margins. However, cultivation in temperate cropping systems such as that of Southern Australia is limited by low soil water availability and subsoil constraints. This limitation of soil water is compounded by the irregular rainfall, resulting in the absence of plant available water at depth. An increase in the productivity of key pulses and expansion into environments and soil types traditionally considered marginal for their growth will require improved use of the limited soil water and adaptation to sub soil constrains. Roots serve as the interface between soil constraints and the whole plant. Changes in root system architecture (RSA) can be utilised as an adaptive strategy in achieving yield potential under limited rainfall, heterogenous distribution of resources and other soil-based constraints. The existing literature has identified a ""'Steep, Deep and Cheap"" root ideotype as a preferred RSA. However, this idiotype is not efficient in a temperate system where plant available water is limited at depth. In addition, this root ideotype and other root architectural studies have focused on cereal crops, which have different structures and growth patterns to pulses due to their monocotyledonous nature and determinant growth habit. The paucity of pulse-specific root architectural studies warrants further investigations into pulse RSA, which should be combined with an examination of the existing variability of known genetic traits so as to develop strategies to alleviate production constraints through either tolerance or avoidance mechanisms. This review proposes a new model of root system architecture of ""Wide, Shallow and Fine"" roots based on pulse roots in temperate cropping systems. The proposed ideotype has, in addition to other root traits, a root density concentrated in the upper soil layers to capture in-season rainfall before it is lost due to evaporation. The review highlights the potential to achieve this in key pulse crops including chickpea, lentil, faba bean, field pea and lupin. Where possible, comparisons to determinate crops such as cereals have also been made. The review identifies the key root traits that have shown a degree of adaptation via tolerance or avoidance to water stress and documents the current known variability that exists in and amongst pulse crops setting priorities for future research.","Rao S, Armstrong R, Silva-Perez V, Tefera AT, Rosewarne GM","Plants (Basel, Switzerland)",2021,,roots AND phenology AND fine roots AND growth
Remarkable Similarity in Timing of Absorptive Fine-Root Production Across 11 Diverse Temperate Tree Species in a Common Garden.,"https://doi.org/10.3389/fpls.2020.623722
10.1111/nph.13111
10.1371/journal.pone.0095321.t001
10.1016/s0169-5347(00)89156-9
10.1046/j.1469-8137.2003.00674.x
10.1007/978-94-009-6833-2_3
10.1146/annurev.es.16.110185.002051
10.1139/b88-166
10.1007/bf01416099
10.1016/0378-1127(94)90071-x
10.1038/nature03972
10.1111/j.1469-8137.2005.01456.x
10.1104/pp.64.6.930
10.1016/s0169-5347(98)01532-8
10.1111/j.1365-2486.2004.00729.x
10.1093/treephys/tpq090
10.1093/treephys/tps057
10.1046/j.1469-8137.2000.00688.x
10.1016/j.foreco.2008.06.016
10.1111/1365-2745.12813
10.1038/nplants.2016.111
10.1007/s10533-015-0110-7
10.2307/1940183
10.1890/0012-9658(2006)87[2288:tseoda]2.0.co;2
10.2136/sssaj1999.03615995006300010031x
10.1111/j.1469-8137.2006.01831.x
10.1046/j.1469-8137.2002.00393.x
10.1007/s11104-004-2976-3
10.1159/000403954
10.1016/s0378-1127(00)00543-0
10.2307/1933474
10.1016/b978-1-4831-9976-4.50011-x
10.1111/oik.06996
10.3832/ifor1190-007
10.1111/j.1469-8137.2012.04198.x
10.1890/13-1942.1
10.1111/nph.13363
10.1007/s11104-014-2347-7
10.3389/fpls.2014.00205
10.1002/j.1537-2197.1916.tb05420.x
10.2307/1933558
10.1016/j/foreco.2018.06.044
10.1007/s10533-011-9695-7
10.1111/j.1469-8137.1966.tb06362.x
10.1007/s10310-005-0163-x
10.1073/pnas.0403491101
10.1093/treephys/tpr006
10.1890/0012-9615(2002)072[0293:fraonn]2.0.co;2
10.1111/gcb.12409
10.1111/j.1461-0248.2005.00779.x
10.1007/s11104-008-9690-5
10.1098/rstb.2010.0102
10.1016/j.dendro.2014.04.001
10.1890/0012-9658(1998)079[2706:rofrdb]2.0.co;2
10.1890/02-4032
10.1038/s41598-018-27832-0
10.1093/treephys/tpu003
10.1007/bf01833630
10.1111/j.1399-3054.1981.tb06055.x
10.1111/j.1365-3040.1996.tb00226.x
10.1046/j.1365-2486.2003.00622.x
10.1139/x83-112
10.1007/s11104-018-3596-7
10.1086/336860
10.1111/1468-0459.00033
10.1046/j.1469-8137.2003.00903.x
10.1890/0012-9615(2006)076[0381:cosals]2.0.co;2
10.1093/treephys/tpz086","Long-term minirhizotron observations of absorptive fine roots provide insights into seasonal patterns of belowground root production and carbon dynamics. Our objective was to compare root dynamics over time across mature individuals of 11 temperate trees species: five evergreen and six deciduous. We analyzed the timing and growth on 1st-and 2nd-order roots in minirhizotron images down to a vertical depth of 35 cm, as well as monthly and total annual length production. Production patterns were related to total annual precipitation of the actual and previous year of root production over 6 years. The main or largest peak of annual fine-root production occurred between June and September for almost all species and years. In most years, when peaks occurred, the timing of peak root production was synchronized across all species. A linear mixed model revealed significant differences in monthly fine-root length production across species in certain years (species x year, ","Withington JM, Goebel M, Bułaj B, Oleksyn J, Reich PB, Eissenstat DM",Frontiers in plant science,2021,,roots AND phenology AND fine roots AND growth
